proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
udp,171.633045,6900,0,S0,0,D,23,7544,0,0,Benign
icmp,180.707971,580,0,OTH,0,Benign,13,1308,0,0,Benign
tcp,0.000006,0,0,SHR,0,^f,0,0,2,80,Benign
tcp,0.000006,0,0,SHR,0,^f,0,0,2,80,Benign
tcp,0.000007,0,0,SHR,0,^f,0,0,2,80,Benign
udp,0.000089,495,0,S0,0,D,11,1023,0,0,Benign
udp,4.080298,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.104848,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.947094,876,0,S0,0,D,6,1164,0,0,Benign
udp,0.000101,979,0,S0,0,D,11,1507,0,0,Benign
udp,4.074816,876,0,S0,0,D,6,1164,0,0,Benign
icmp,134.880125,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,134.91912,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,135.583937,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,175.769442,7200,0,S0,0,D,24,7872,0,0,Benign
icmp,179.944016,600,0,OTH,0,Benign,14,1384,0,0,Benign
udp,0.000092,561,0,S0,0,D,11,1089,0,0,Benign
udp,0.000052,1316,0,S0,0,D,7,1652,0,0,Benign
udp,4.022138,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.756469,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.07663,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.141261,876,0,S0,0,D,6,1164,0,0,Benign
icmp,135.423985,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,135.056485,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,136.351937,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,171.314691,6900,0,S0,0,D,23,7544,0,0,Benign
icmp,180.411992,600,0,OTH,0,Benign,14,1384,0,0,Benign
udp,4.094092,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.712268,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.874202,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.865345,876,0,S0,0,D,6,1164,0,0,Benign
icmp,135.007999,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,134.999865,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,135.423971,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,173.328155,6000,0,S0,0,D,20,6560,0,0,Benign
icmp,180.75197,580,0,OTH,0,Benign,13,1308,0,0,Benign
udp,1.789118,736,0,S0,0,D,5,976,0,0,Benign
udp,3.849954,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.780424,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.969944,876,0,S0,0,D,6,1164,0,0,Benign
icmp,134.848031,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,134.887392,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,135.327928,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,162.155331,6600,0,S0,0,D,22,7216,0,0,Benign
icmp,180.28399,580,0,OTH,0,Benign,13,1308,0,0,Benign
udp,4.058887,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.819744,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.040004,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.876546,876,0,S0,0,D,6,1164,0,0,Benign
icmp,134.687932,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,134.791482,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,135.423892,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,175.549635,6900,0,S0,0,D,23,7544,0,0,Benign
icmp,180.395996,600,0,OTH,0,Benign,14,1384,0,0,Benign
udp,3.942575,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.87375,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.026406,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.164705,876,0,S0,0,D,6,1164,0,0,Benign
icmp,135.263999,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,135.024997,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,136.127965,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,168.015512,6000,0,S0,0,D,20,6560,0,0,Benign
icmp,180.623973,580,0,OTH,0,Benign,13,1308,0,0,Benign
udp,0.000076,451,0,S0,0,D,11,979,0,0,Benign
udp,3.933981,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.854194,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.163531,876,0,S0,0,D,6,1164,0,0,Benign
udp,4.174698,876,0,S0,0,D,6,1164,0,0,Benign
udp,0.003738,156,412,SF,0,Dd,4,268,4,524,Benign
icmp,134.848013,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,134.919447,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,135.055936,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,0.030243,96,96,SF,0,Dd,2,152,2,152,Benign
udp,172.789614,6300,0,S0,0,D,21,6888,0,0,Benign
icmp,180.803993,580,0,OTH,0,Benign,13,1308,0,0,Benign
udp,3.978091,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.890837,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.869429,876,0,S0,0,D,6,1164,0,0,Benign
udp,3.934943,876,0,S0,0,D,6,1164,0,0,Benign
icmp,135.856688,96,0,OTH,0,Benign,4,288,0,0,Benign
icmp,135.868948,0,0,OTH,0,Benign,4,192,0,0,Benign
icmp,136.447958,400,0,OTH,0,Benign,16,1296,0,0,Benign
udp,0.000093,495,0,S0,0,D,11,1023,0,0,Benign
udp,174.95001,7200,0,S0,0,D,24,7872,0,0,Benign
icmp,180.327992,600,0,OTH,0,Benign,14,1384,0,0,Benign
udp,0.000095,979,0,S0,0,D,11,1507,0,0,Benign
udp,4.192472,876,0,S0,0,D,6,1164,0,0,Benign
udp,0.0001,561,0,S0,0,D,11,1089,0,0,Benign
udp,0.000099,1316,0,S0,0,D,7,1652,0,0,Benign
udp,3.799446,876,0,S0,0,D,6,1164,0,0,Benign
tcp,4537.403134,179107,464134,S1,0,ShDadAttt,2702,466302,3137,1075416,Benign
udp,90.034713,3300,0,S0,0,D,11,3608,0,0,Benign
icmp,90.39997,340,0,OTH,0,Benign,9,844,0,0,Benign
icmp,89.82403,72,0,OTH,0,Benign,3,216,0,0,Benign
icmp,45.215915,200,0,OTH,0,Benign,8,648,0,0,Benign
icmp,44.242223,0,0,OTH,0,Benign,2,96,0,0,Benign
