dur,proto=tcp,proto=udp,proto=other,service=-,service=http,service=dns,service=other,state=FIN,state=INT,state=other,sbytes,dbytes,rate,sloss,dloss,sjit,djit,swin,stcpb,dtcpb,dwin,smean,dmean,trans_depth,ct_srv_src,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,label
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,2,2,2,2,2,3,2,1
0.00001,0,1,0,1,0,0,0,0,1,0,1416,0,100000.0025,0,0,0,0,0,0,0,0,708,0,0,1,1,1,1,1,1,1,1
0.642336,1,0,0,1,0,0,0,1,0,0,1078,268,23.352264,2,1,3166.440302,159.277,255,256400646,3949988698,255,108,45,0,1,1,1,1,1,1,2,1
0.000002,0,0,1,1,0,0,0,0,1,0,200,0,500000.0013,0,0,0,0,0,0,0,0,100,0,0,9,4,2,2,13,4,9,1
0.000001,0,1,0,1,0,0,0,0,1,0,168,0,1000000.003,0,0,0,0,0,0,0,0,84,0,0,1,1,1,1,1,14,1,1
1.994705,1,0,0,1,0,0,0,1,0,0,754,268,7.519909,2,1,13303.36581,598.084562,255,2749908613,3908183494,255,75,45,0,7,1,1,1,2,1,3,1
0.00001,0,1,0,0,0,1,0,0,1,0,114,0,100000.0025,0,0,0,0,0,0,0,0,57,0,0,30,17,17,17,30,17,30,1
1.026642,1,0,0,1,0,0,0,1,0,0,1070,678,24.351235,4,4,4023.958738,126.33243,255,3523515198,3623761416,255,76,57,0,5,1,1,1,4,2,4,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,24,16,16,16,24,16,24,1
1.249103,1,0,0,0,0,0,1,1,0,0,30973,1878,48.835046,17,8,2062.645283,63.472035,255,3529624942,2089482028,255,774,85,0,1,3,1,1,1,2,1,1
0.000004,0,1,0,0,0,1,0,0,1,0,114,0,250000.0006,0,0,0,0,0,0,0,0,57,0,0,18,18,18,18,18,20,18,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,33,16,16,16,33,16,33,1
0.792969,1,0,0,1,0,0,0,1,0,0,10098,2308,51.704418,9,7,1868.185762,57.075422,255,2463830290,4198773267,255,421,128,0,2,1,1,1,1,1,2,1
0.00003,0,1,0,0,0,1,0,0,1,0,114,0,33333.33418,0,0,0,0,0,0,0,0,57,0,0,33,33,33,16,33,33,33,1
0.739325,1,0,0,0,0,0,1,1,0,0,364,910,20.288777,1,2,6645.907499,181.249609,255,450366255,4197566346,255,46,114,0,1,2,1,1,2,3,1,1
0.000005,0,1,0,0,0,1,0,0,1,0,114,0,200000.0051,0,0,0,0,0,0,0,0,57,0,0,33,33,33,17,33,34,33,1
0.000004,0,0,1,1,0,0,0,0,1,0,200,0,250000.0006,0,0,0,0,0,0,0,0,100,0,0,4,2,2,2,4,2,4,1
10.51655,1,0,0,0,1,0,0,1,0,0,1416,6672,2.757558,3,4,1578.8095,57063.14199,255,3521572678,139687164,255,89,477,1,3,2,1,1,1,1,1,1
0.000005,0,1,0,0,0,1,0,0,1,0,114,0,200000.0051,0,0,0,0,0,0,0,0,57,0,0,31,12,12,12,31,12,31,1
0.000005,0,1,0,0,0,1,0,0,1,0,114,0,200000.0051,0,0,0,0,0,0,0,0,57,0,0,42,32,32,16,42,32,42,1
0.000007,0,1,0,0,0,1,0,0,1,0,114,0,142857.1409,0,0,0,0,0,0,0,0,57,0,0,16,16,16,16,16,18,16,1
0.000011,0,1,0,1,0,0,0,0,1,0,1226,0,90909.0902,0,0,0,0,0,0,0,0,613,0,0,4,1,1,1,2,2,2,1
0.853368,1,0,0,1,0,0,0,1,0,0,534,354,19.921066,2,1,5169.873075,179.835375,255,419067893,3023794172,255,53,44,0,1,1,1,1,1,1,1,1
1.969906,1,0,0,0,1,0,0,1,0,0,2744,354,8.629854,2,1,14695.82252,596.300938,255,3477645492,4187061277,255,274,44,1,1,1,2,1,1,3,1,1
0.000003,0,1,0,1,0,0,0,0,1,0,1706,0,333333.3215,0,0,0,0,0,0,0,0,853,0,0,6,1,1,1,5,1,5,1
58.400097,0,1,0,0,0,1,0,0,1,0,7828,0,1.284244,0,0,957.182563,0,0,0,0,0,103,0,0,2,2,2,2,2,2,2,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,7,2,2,2,7,22,7,1
0.000003,0,0,1,1,0,0,0,0,1,0,200,0,333333.3215,0,0,0,0,0,0,0,0,100,0,0,7,3,3,3,7,4,7,1
0.000003,0,1,0,1,0,0,0,0,1,0,412,0,333333.3215,0,0,0,0,0,0,0,0,206,0,0,2,2,1,1,2,2,5,1
0.000008,0,1,0,0,0,1,0,0,1,0,114,0,125000.0003,0,0,0,0,0,0,0,0,57,0,0,30,13,13,13,30,13,30,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,4,2,2,2,4,2,4,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,28,18,18,18,28,18,28,1
0.202832,1,0,0,0,1,0,0,1,0,0,874,268,73.952829,2,1,1118.428044,49.503172,255,249958186,1954270289,255,87,45,1,1,1,1,1,1,1,1,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,37,28,28,14,37,28,37,1
0.000005,0,1,0,0,0,1,0,0,1,0,114,0,200000.0051,0,0,0,0,0,0,0,0,57,0,0,19,17,17,17,19,19,19,1
0.000003,0,0,1,1,0,0,0,0,1,0,200,0,333333.3215,0,0,0,0,0,0,0,0,100,0,0,12,6,5,5,17,6,12,1
0.889538,1,0,0,0,0,0,1,1,0,0,59973,2086,100.051938,29,8,1131.400792,41.344613,255,2512715868,3543187447,255,937,80,0,1,1,1,1,1,1,1,1
0.000009,0,1,0,1,0,0,0,0,1,0,104,0,111111.1072,0,0,0,0,0,0,0,0,52,0,0,3,2,2,2,2,2,2,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,14,5,5,3,14,5,14,1
0.000011,0,1,0,1,0,0,0,0,1,0,1064,0,90909.0902,0,0,0,0,0,0,0,0,532,0,0,5,1,1,1,5,15,5,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,46,42,42,18,46,42,46,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,5,1,1,1,5,15,5,1
1.161205,1,0,0,0,1,0,0,1,0,0,946,2514,16.362313,2,2,5979.779008,261.845422,255,606108766,3328788383,255,79,314,1,2,1,1,1,1,4,1,1
0.78027,1,0,0,1,0,0,0,1,0,0,564,354,21.787331,2,1,5935.576864,143.083719,255,417702434,3141390824,255,56,44,0,9,1,1,1,1,2,1,1
0.000001,0,0,1,1,0,0,0,0,1,0,200,0,1000000.003,0,0,0,0,0,0,0,0,100,0,0,2,1,1,1,2,1,2,1
59.980972,1,0,0,1,0,0,0,0,0,1,10508068,52700,153.465335,3993,6,1123.527857,71.595328,255,4289354205,1268307079,255,1315,43,0,1,2,2,2,2,2,1,1
0.000002,0,1,0,0,0,1,0,0,1,0,114,0,500000.0013,0,0,0,0,0,0,0,0,57,0,0,27,19,19,11,27,19,27,1
1.154095,1,0,0,0,0,0,1,1,0,0,13891,1916,42.457508,12,8,3407.978671,108.407094,255,1519114099,1485691058,255,463,96,0,1,1,1,1,1,1,1,1
0.000008,0,1,0,0,0,1,0,0,1,0,114,0,125000.0003,0,0,0,0,0,0,0,0,57,0,0,26,16,16,16,26,16,26,1
0.000005,0,1,0,0,0,1,0,0,1,0,114,0,200000.0051,0,0,0,0,0,0,0,0,57,0,0,18,18,18,11,18,19,18,1
0.000009,0,0,1,1,0,0,0,0,1,0,104,0,111111.1072,0,0,0,0,0,0,0,0,52,0,0,2,2,2,2,2,2,2,1
0.931449,1,0,0,1,0,0,0,1,0,0,2516,268,16.103941,2,1,5701.1729,282.222406,255,2276030759,2055401408,255,252,45,0,4,1,1,1,3,2,3,1
0.000008,0,1,0,0,0,1,0,0,1,0,114,0,125000.0003,0,0,0,0,0,0,0,0,57,0,0,28,4,4,4,28,4,28,1
0.000007,0,1,0,0,0,1,0,0,1,0,114,0,142857.1409,0,0,0,0,0,0,0,0,57,0,0,5,3,3,3,5,8,5,1
0.616085,1,0,0,0,1,0,0,1,0,0,6882,1124,37.332511,4,2,3491.657798,96.182648,255,615144537,2178136976,255,492,112,1,1,1,1,1,1,1,1,1
0.000006,0,1,0,0,0,1,0,0,1,0,114,0,166666.6608,0,0,0,0,0,0,0,0,57,0,0,29,17,17,17,29,17,29,1
0.189193,1,0,0,1,0,0,0,1,0,0,756,268,79.284119,2,1,1083.626855,54.428926,255,2349531171,1361589211,255,76,45,0,3,2,2,1,3,2,3,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,6,3,3,3,6,4,6,1
0.000001,0,1,0,0,0,1,0,0,1,0,114,0,1000000.003,0,0,0,0,0,0,0,0,57,0,0,29,13,13,13,29,13,29,1
0.259442,1,0,0,0,1,0,0,1,0,0,25410,354,127.196058,10,1,838.355037,49.632367,255,1214312210,1630209650,255,977,44,1,1,1,1,1,1,1,1,1
0.774412,1,0,0,1,0,0,0,1,0,0,788,354,21.95214,2,1,5482.030341,147.507844,255,3070750954,1291704659,255,79,44,0,4,1,1,1,2,2,1,1
0.000008,0,1,0,0,0,1,0,0,1,0,114,0,125000.0003,0,0,0,0,0,0,0,0,57,0,0,33,36,33,16,33,34,33,1
0.000009,0,1,0,1,0,0,0,0,1,0,168,0,111111.1072,0,0,0,0,0,0,0,0,84,0,0,1,1,1,1,1,1,1,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,5,2,2,2,5,5,5,1
0.00001,0,1,0,1,0,0,0,0,1,0,168,0,100000.0025,0,0,0,0,0,0,0,0,84,0,0,2,1,1,1,1,2,1,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,6,2,2,2,6,17,6,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,23,18,18,18,23,18,23,1
0.549489,1,0,0,0,1,0,0,1,0,0,926,268,27.298089,2,1,2952.831963,154.912563,255,3748135899,3078245416,255,93,45,1,1,2,1,1,1,6,1,1
0.000003,0,0,1,1,0,0,0,0,1,0,200,0,333333.3215,0,0,0,0,0,0,0,0,100,0,0,4,1,1,1,4,1,4,1
0.000007,0,1,0,0,0,1,0,0,1,0,114,0,142857.1409,0,0,0,0,0,0,0,0,57,0,0,26,17,17,17,26,17,26,1
0.379769,1,0,0,1,0,0,0,1,0,0,830,484,55.296773,3,3,1691.798206,54.00268,255,1446644066,4103968957,255,69,48,0,1,1,1,1,1,1,1,1
1.325008,1,0,0,0,0,0,1,1,0,0,1162,1632,32.452633,7,9,3314.498489,3285.944099,255,525219775,3346081257,255,53,74,0,1,2,1,1,2,2,1,1
0.000002,0,0,1,1,0,0,0,0,1,0,200,0,500000.0013,0,0,0,0,0,0,0,0,100,0,0,5,2,2,2,5,2,5,1
1.10597,1,0,0,1,0,0,0,1,0,0,836,554,18.987856,3,2,5378.117252,201.19975,255,3012729373,2066171133,255,70,55,0,1,1,1,1,1,1,1,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,19,17,17,17,19,17,19,1
0.000008,0,1,0,0,0,1,0,0,1,0,114,0,125000.0003,0,0,0,0,0,0,0,0,57,0,0,20,18,17,17,20,17,20,1
0.000008,0,1,0,0,0,1,0,0,1,0,114,0,125000.0003,0,0,0,0,0,0,0,0,57,0,0,20,18,17,17,20,17,20,1
0.000003,0,1,0,0,0,1,0,0,1,0,114,0,333333.3215,0,0,0,0,0,0,0,0,57,0,0,16,16,16,12,16,16,16,1
0.00001,0,1,0,1,0,0,0,0,1,0,1900,0,100000.0025,0,0,0,0,0,0,0,0,950,0,0,24,6,5,1,24,5,24,1
1.325143,0,0,1,1,0,0,0,0,1,0,480,0,5.282449,0,0,422.259813,0,0,0,0,0,60,0,0,2,1,1,1,2,1,2,1
0.504837,1,0,0,1,0,0,0,1,0,0,2000,694,37.635912,3,2,2245.362152,83.965453,255,1316912072,1461936798,255,167,87,0,3,2,1,1,3,2,3,1
0.000002,0,1,0,0,0,1,0,0,1,0,114,0,500000.0013,0,0,0,0,0,0,0,0,57,0,0,29,16,16,16,29,16,29,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,33,33,33,16,33,34,33,1
0.787352,1,0,0,0,1,0,0,1,0,0,792,8076,26.671678,2,4,4387.367675,3666.465468,255,4219896961,1333079089,255,79,673,1,1,1,1,1,1,1,2,1
0.000003,0,0,1,1,0,0,0,0,1,0,200,0,333333.3215,0,0,0,0,0,0,0,0,100,0,0,5,1,1,1,5,1,5,1
0.000001,0,1,0,0,0,1,0,0,1,0,114,0,1000000.003,0,0,0,0,0,0,0,0,57,0,0,35,34,34,18,35,34,35,1
0.00001,0,1,0,0,0,1,0,0,1,0,114,0,100000.0025,0,0,0,0,0,0,0,0,57,0,0,16,16,16,16,17,16,16,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,29,16,16,16,29,16,29,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,33,33,33,16,33,33,33,1
0.805853,1,0,0,1,0,0,0,1,0,0,68185,612,90.58724,27,1,1430.665043,73.094695,255,3333350144,2522662864,255,1136,44,1,3,1,1,1,1,2,1,1
0.000002,0,1,0,0,0,1,0,0,1,0,114,0,500000.0013,0,0,0,0,0,0,0,0,57,0,0,35,16,15,15,35,15,35,1
0.252045,1,0,0,1,0,0,0,1,0,0,724,268,59.513181,2,1,1334.323604,66.999453,255,164304636,1395807192,255,72,45,0,1,1,1,1,1,1,1,1
0.449667,1,0,0,0,1,0,0,1,0,0,820,1022,37.805753,2,2,2553.048771,77.277625,255,1206099918,2573141173,255,82,128,1,1,1,1,1,1,2,1,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,9,3,2,2,13,3,9,1
12.229081,1,0,0,0,1,0,0,1,0,0,772,1324,1.553674,2,2,89001.8981,2469.95775,255,3713025836,973949428,255,77,132,1,1,2,1,1,2,3,1,1
0.396997,1,0,0,0,1,0,0,1,0,0,794,268,37.78366,2,1,1992.027971,90.498891,255,1053121110,1887578455,255,79,45,1,2,1,1,1,1,1,1,1
1.090801,1,0,0,1,0,0,0,1,0,0,2516,354,15.584878,2,1,6265.228847,234.245062,255,30765558,2655249139,255,252,44,0,7,1,1,1,2,1,2,1
0.503249,1,0,0,0,0,0,1,1,0,0,672,736,33.780495,2,2,2798.586551,91.720016,255,2006734401,1861947969,255,67,92,0,1,1,1,1,1,1,1,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,28,12,12,12,28,12,28,1
0.000009,0,0,1,1,0,0,0,0,1,0,200,0,111111.1072,0,0,0,0,0,0,0,0,100,0,0,6,4,3,3,6,4,6,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,33,33,33,16,33,34,33,1
0.000001,0,0,1,1,0,0,0,0,1,0,200,0,1000000.003,0,0,0,0,0,0,0,0,100,0,0,2,2,1,1,2,26,2,1
0.000009,0,1,0,0,0,1,0,0,1,0,114,0,111111.1072,0,0,0,0,0,0,0,0,57,0,0,12,12,12,12,12,12,12,1
0.000007,0,1,0,0,0,1,0,0,1,0,114,0,142857.1409,0,0,0,0,0,0,0,0,57,0,0,34,18,16,16,34,16,34,1
0.000008,0,1,0,0,0,1,0,0,1,0,114,0,125000.0003,0,0,0,0,0,0,0,0,57,0,0,26,16,16,16,26,17,26,1
