proto=tcp,proto=udp,proto=other,state=FIN,state=CON,state=other,dur,sbytes,dbytes,sloss,dloss,service=dns,service=ftp-data,service=ssh,service=http,service=smtp,service=ftp,service=pop3,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,Sjit,Djit,Stime,Ltime,ct_flw_http_mthd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,label
1,0,0,1,0,0,3.320208,13766,548216,21,197,,,,,,,,1317905.375,240,438,255,255,2127728286,26726042,57,1252,0,4850.353189,3580.099907,1421950246,1421950249,0,8,19,5,2,2,1,2,0
1,0,0,1,0,0,25.487133,48464,85554,144,199,0,0,1,0,0,0,0,26814.78516,618,682,255,255,1303700994,3449332550,78,125,0,3077.107568,2926.714537,1421931307,1421931333,0,1,1,4,1,1,1,1,0
1,0,0,1,0,0,0.006047,2158,2464,6,6,,,,,,,,3124855.25,24,24,255,255,4050471931,1901282203,90,103,0,15.27882,0.329115,1421931788,1421931788,0,5,3,3,2,1,1,1,0
1,0,0,1,0,0,1.12014,1684,10168,3,5,0,0,0,1,0,0,0,68591.42969,14,18,255,255,3473611531,1329209918,120,565,1,9626.727942,8427.569383,1421954185,1421954187,1,2,1,2,2,1,1,1,0
1,0,0,1,0,0,0.298669,866,268,2,1,0,0,0,1,0,0,0,5999.953125,10,6,255,255,4060905359,3226700423,87,45,1,1452.060391,73.790883,1421927761,1421927761,1,1,1,1,5,1,1,1,1
0,1,0,0,1,0,0.036092,536,304,0,0,,,,,,,,50537.51953,4,4,0,0,0,0,134,76,0,9.873333,10.837591,1421933946,1421933946,0,7,19,5,2,1,1,2,0
1,0,0,1,0,0,0.080134,2958,31784,7,18,,,,,,,,3109691.5,48,50,255,255,952314233,3102202042,62,636,0,100.582329,97.819874,1421937023,1421937023,0,7,7,4,6,1,1,1,0
1,0,0,0,1,0,0.030836,4342,65274,7,31,,,,,,,,16699443,74,72,255,255,819584572,2977306075,59,907,0,0,21.374683,1421947914,1421947914,0,2,3,4,7,1,1,2,0
1,0,0,1,0,0,2.052944,12414,548216,21,197,,,,,,,,2131436.75,214,438,255,255,1764812770,1770430967,58,1252,0,3155.805565,2203.214979,1421938663,1421938665,0,9,9,5,2,2,1,2,0
1,0,0,1,0,0,0.004254,1064,2260,4,4,,,,,,,,3896568,12,12,255,255,1705192799,3850885025,89,188,0,17.725074,0.402238,1421928351,1421928351,0,6,2,1,1,1,1,1,0
1,0,0,1,0,0,0.016449,2958,31788,7,18,,,,,,,,15151316,48,50,255,255,501874098,2656805857,62,636,0,0,19.110218,1421941303,1421941303,0,9,12,2,2,1,1,1,0
1,0,0,1,0,0,0.012995,2230,14952,7,11,,,,,,,,8949288,34,36,255,255,835699275,835996954,66,415,0,26.040886,22.846166,1421933386,1421933386,0,17,16,5,7,1,1,4,0
1,0,0,1,0,0,0.048044,2750,28874,7,16,,,,,,,,4703522,44,46,255,255,3176291096,3176622744,63,628,0,79.815558,69.830212,1421945470,1421945470,0,9,18,14,8,4,4,4,0
1,0,0,1,0,0,0.511399,424,8824,1,4,0,1,0,0,0,0,0,126539.1641,8,12,255,255,411516296,2970549091,53,735,0,4527.554169,3558.701734,1421951074,1421951075,0,1,1,3,4,1,1,1,0
0,1,0,0,1,0,0.001093,146,178,0,0,1,0,0,0,0,0,0,651418.0625,2,2,0,0,0,0,73,89,0,0,0,1421950034,1421950034,0,5,3,4,8,2,1,1,0
1,0,0,1,0,0,3.243415,18682,1087890,2,370,0,0,0,1,0,0,0,2679723.5,350,746,255,255,320700953,2467284778,53,1458,1,3208.973849,2191.53649,1421951442,1421951445,1,2,2,1,1,1,1,1,0
0,1,0,0,1,0,0.124266,568,312,0,0,,,,,,,,15064.45898,4,4,0,0,0,0,142,78,0,51.378379,34.350539,1421948501,1421948501,0,9,12,9,2,1,1,2,0
1,0,0,1,0,0,0.046975,8928,424,4,1,0,1,0,0,0,0,0,63182.54297,14,8,255,255,3736418254,4040656550,638,53,0,392.498389,16.052,1421948410,1421948410,0,2,1,2,3,1,1,2,0
1,0,0,1,0,0,0.841675,2934,3742,11,15,,,,,,,,34911.33984,52,54,255,255,927925620,928963356,56,69,0,1575.277453,52.824523,1421932778,1421932778,0,14,10,7,7,1,1,5,0
1,0,0,1,0,0,1.007342,1684,10168,3,5,0,0,0,1,0,0,0,76272.01563,14,18,255,255,3795004562,3791897551,120,565,1,8774.733263,7683.261395,1421927854,1421927855,1,1,3,2,1,1,1,1,0
0,1,0,0,1,0,0.001054,146,178,0,0,1,0,0,0,0,0,0,675521.8125,2,2,0,0,0,0,73,89,0,0,0,1421927606,1421927606,0,2,4,3,4,2,1,3,0
0,1,0,0,1,0,0.001103,146,178,0,0,,,,,,,,645512.25,2,2,0,0,0,0,73,89,0,0,0,1421934630,1421934630,0,18,13,2,9,1,1,1,0
1,0,0,1,0,0,3.899688,1130,25220,7,16,,,,,,,,50301.46094,24,36,255,255,2666177138,1703346932,47,701,0,11033.02421,9109.636821,1421933301,1421933305,0,1,3,1,1,1,1,1,1
1,0,0,1,0,0,1.007957,1684,10168,3,5,0,0,0,1,0,0,0,76225.47656,14,18,255,255,1292243390,3442824360,120,565,1,8765.799256,7675.334677,1421944121,1421944122,1,2,2,1,1,1,1,1,0
1,0,0,1,0,0,0.019298,2766,25742,7,16,,,,,,,,10439631,44,46,255,255,824448210,824751233,63,560,0,26.631565,24.814788,1421949528,1421949528,0,7,7,4,4,1,1,2,0
1,0,0,1,0,0,1.160021,1684,10168,3,5,0,0,0,1,0,0,0,66233.28906,14,18,255,255,200986131,254305519,120,565,1,8832.903926,7737.803565,1421939466,1421939467,1,2,2,2,3,1,1,1,0
0,1,0,0,1,0,0.001071,130,162,0,0,1,0,0,0,0,0,0,605042,2,2,0,0,0,0,65,81,0,0,0,1421945738,1421945738,0,2,3,4,3,1,1,3,0
1,0,0,1,0,0,0.027645,3494,41228,7,22,,,,,,,,11725231,58,58,255,255,637076691,2782769900,60,711,0,27.030943,0.738882,1421953386,1421953386,0,5,2,1,2,1,1,1,0
0,1,0,0,1,0,0.001125,146,178,0,0,1,0,0,0,0,0,0,632888.9375,2,2,0,0,0,0,73,89,0,0,0,1421954341,1421954341,0,3,3,2,3,1,1,1,0
0,1,0,0,1,0,0.001066,146,178,0,0,1,0,0,0,0,0,0,667917.4375,2,2,0,0,0,0,73,89,0,0,0,1421927562,1421927562,0,2,3,2,2,2,1,1,0
1,0,0,1,0,0,0.027054,3062,31680,7,18,,,,,,,,9172765,50,48,255,255,3818094037,1673012338,61,660,0,32.040817,0.883248,1421937110,1421937110,0,13,6,3,4,1,1,1,0
1,0,0,1,0,0,3.694424,1920,4312,6,6,,,,,,,,8949.704102,22,24,255,255,96845877,97101804,87,180,0,14411.39942,13773.97729,1421943485,1421943489,0,5,7,1,3,2,1,1,0
0,1,0,0,1,0,0.001038,146,178,0,0,1,0,0,0,0,0,0,685934.5,2,2,0,0,0,0,73,89,0,0,0,1421931839,1421931839,0,1,3,2,3,1,1,1,0
1,0,0,1,0,0,0.004505,8928,320,4,1,0,1,0,0,0,0,0,474139.8438,14,6,255,255,3077696910,940595775,638,53,0,17.5201,1.247844,1421939932,1421939932,0,3,3,7,9,1,1,5,0
0,1,0,0,1,0,0.004529,568,304,0,0,,,,,,,,402737.9375,4,4,0,0,0,0,142,76,0,1.692815,1.422463,1421934992,1421934992,0,5,13,5,4,1,1,3,0
1,0,0,1,0,0,0.550234,37690,3484,18,8,0,0,0,0,1,0,0,49506.20703,52,44,255,255,3171438943,1073874050,725,79,0,806.000107,25.202703,1421940029,1421940030,0,2,1,2,4,2,1,1,0
1,0,0,1,0,0,1.177148,1684,10168,3,5,0,0,0,1,0,0,0,65269.61719,14,18,255,255,3519962998,3520945302,120,565,1,10076.98294,8827.471573,1421946272,1421946273,1,1,2,3,1,1,1,1,0
1,0,0,1,0,0,0.52899,568,354,2,1,,,,,,,,4688.179688,10,8,255,255,4114922016,4138810538,57,44,0,3488.427905,113.91843,1421930438,1421930439,0,1,1,1,1,1,1,1,1
1,0,0,1,0,0,0.079644,3390,42312,7,22,,,,,,,,4176887,56,58,255,255,2878771532,734323234,61,730,0,98.916158,96.416964,1421954220,1421954220,0,11,2,5,3,1,1,1,0
1,0,0,1,0,0,0.07601,4014,61374,7,28,,,,,,,,6367372.5,68,70,255,255,4100091813,4110053571,59,877,0,69.529476,68.203602,1421953592,1421953592,0,3,7,3,3,1,1,1,0
1,0,0,1,0,0,0.059742,37288,3380,18,8,0,0,0,0,1,0,0,441900.1563,52,42,255,255,1541723972,1542725010,717,80,0,69.575801,3.13036,1421945102,1421945102,0,1,1,10,23,5,5,5,0
0,1,0,0,1,0,0.00181,520,304,0,0,,,,,,,,1007734.813,4,4,0,0,0,0,130,76,0,0.643703,0.331878,1421943391,1421943391,0,2,3,4,3,1,1,1,0
0,1,0,0,1,0,0.004877,568,312,0,0,,,,,,,,383842.5313,4,4,0,0,0,0,142,78,0,1.762348,1.567656,1421943542,1421943542,0,2,7,6,2,1,1,2,0
0,1,0,0,1,0,0.036163,528,304,0,0,,,,,,,,50438.29688,4,4,0,0,0,0,132,76,0,9.426205,10.847489,1421932887,1421932887,0,7,12,4,2,1,1,2,0
0,1,0,0,1,0,0.001676,146,178,0,0,,,,,,,,424821,2,2,0,0,0,0,73,89,0,0,0,1421932744,1421932744,0,10,10,1,4,2,1,1,0
1,0,0,1,0,0,6.135677,2692,3234,10,13,0,0,0,0,0,1,0,4129.291992,48,48,255,255,2117083857,2118120157,56,67,0,9737.136272,297.744875,1421945181,1421945188,0,8,8,8,14,8,8,8,0
1,0,0,1,0,0,0.055583,37232,3380,18,8,0,0,0,0,1,0,0,474965.375,52,42,255,255,3605731822,3606659827,716,80,0,70.740108,3.408394,1421930201,1421930202,0,2,2,2,4,1,1,1,0
1,0,0,1,0,0,0.01202,2542,21882,7,14,,,,,,,,14216971,40,42,255,255,3212399142,3212741862,64,521,0,17.692483,16.864436,1421950266,1421950266,0,6,5,3,9,1,1,1,0
1,0,0,1,0,0,0.026081,3806,52106,7,26,,,,,,,,15740808,64,66,255,255,3083122870,938041598,59,789,0,22.226724,21.341591,1421955720,1421955720,0,10,8,5,2,1,1,1,0
1,0,0,1,0,0,0.783844,7806,15310,30,32,,,,,,,,155020.6406,122,126,255,255,3730170698,1585832153,64,122,0,434.120723,429.386303,1421932091,1421932092,0,4,2,2,1,1,1,1,0
1,0,0,1,0,0,0.024991,3806,52106,7,26,,,,,,,,16427354,64,66,255,255,3670214327,3670543683,59,789,0,20.828695,20.1854,1421955632,1421955632,0,16,12,1,4,1,1,1,0
0,1,0,0,1,0,0.001167,146,178,0,0,,,,,,,,610111.375,2,2,0,0,0,0,73,89,0,0,0,1421955439,1421955439,0,10,4,3,3,1,1,2,0
0,1,0,0,1,0,0.001011,146,178,0,0,1,0,0,0,0,0,0,704253.1875,2,2,0,0,0,0,73,89,0,0,0,1421934906,1421934906,0,1,2,1,1,1,1,1,0
1,0,0,1,0,0,0.038135,2334,16920,7,12,,,,,,,,3456142.75,36,38,255,255,2427150773,2479130152,65,445,0,0,64.579264,1421934341,1421934341,0,10,9,3,1,1,1,1,0
1,0,0,1,0,0,1.430091,1684,10168,3,5,0,0,0,1,0,0,0,53725.25,14,18,255,255,145408189,204638327,120,565,1,10648.02863,9320.673125,1421952473,1421952474,1,2,1,2,2,1,1,1,0
0,1,0,0,1,0,0.004552,568,312,0,0,,,,,,,,411247.7813,4,4,0,0,0,0,142,78,0,1.664293,1.426236,1421945195,1421945195,0,11,12,10,10,2,2,5,0
1,0,0,1,0,0,32.533855,59066,70308,128,121,,,,,,,,17249.23047,426,439,255,255,95153125,95413996,139,160,0,7567.358581,7446.411891,1421945303,1421945336,0,38,39,40,38,29,29,31,0
1,0,0,1,0,0,0.011632,2438,19918,7,13,,,,,,,,13356946,38,40,255,255,494709041,507614251,64,498,0,0,15.787343,1421948490,1421948490,0,6,11,1,2,1,1,1,0
1,0,0,1,0,0,1.182383,3314,27552,9,14,,,,,,,,182370.7031,44,46,255,255,1840213606,1840487419,75,599,0,1948.8129,1907.461935,1421943678,1421943679,0,7,9,4,2,2,1,1,0
0,1,0,0,1,0,0.000972,146,178,0,0,1,0,0,0,0,0,0,732510.3125,2,2,0,0,0,0,73,89,0,0,0,1421943134,1421943134,0,2,3,2,3,1,1,1,0
1,0,0,1,0,0,0.011554,2438,19242,7,13,,,,,,,,12990133,38,40,255,255,131362247,138905400,64,481,0,0,16.393897,1421944473,1421944473,0,6,9,4,3,1,1,2,0
1,0,0,1,0,0,0.055678,3078,33374,7,18,,,,,,,,4699450.5,50,50,255,255,551521844,2697211733,62,667,0,74.925897,2.03474,1421934660,1421934660,0,12,9,3,3,1,1,1,0
0,1,0,0,0,1,0.000004,114,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,57,0,0,0,0,1421931321,1421931321,0,7,7,7,8,7,3,7,1
0,0,1,0,1,0,30.97818,138,84,0,0,,,,,,,,14.461792,3,3,0,0,0,0,46,28,0,14604.361,14604.371,1421948897,1421948928,0,2,2,2,2,2,2,2,0
1,0,0,1,0,0,0.020929,3302,40478,7,21,,,,,,,,15196522,54,56,255,255,4122475814,4122812610,61,723,0,21.109695,20.308983,1421944265,1421944265,0,5,8,4,2,1,1,1,0
1,0,0,1,0,0,0.044016,3926,55074,7,27,,,,,,,,9862777,66,68,255,255,1889635990,1889941314,59,810,0,41.629621,40.417283,1421937532,1421937532,0,5,3,1,3,1,1,1,0
1,0,0,1,0,0,0.004874,4312,2456,7,7,,,,,,,,3807960.75,18,18,255,255,3115674674,969474474,240,136,0,13.224135,0.329387,1421932377,1421932377,0,7,4,1,1,1,1,1,0
1,0,0,1,0,0,0.14499,2958,32586,7,18,,,,,,,,1762052.625,48,50,255,255,3046192064,901107312,62,652,0,191.762692,188.254727,1421944900,1421944900,0,19,20,21,18,4,4,4,0
1,0,0,1,0,0,0.036431,3390,40254,7,22,,,,,,,,8687107,56,58,255,255,3597537078,3618477460,61,694,0,39.590076,39.518007,1421951938,1421951938,0,2,4,3,2,1,1,1,0
1,0,0,1,0,0,1.153841,18578,1087890,2,370,0,0,0,1,0,0,0,7532628.5,348,746,255,255,2755122195,2751954382,53,1458,1,194.089639,117.495808,1421952502,1421952503,1,2,1,6,2,1,1,1,0
1,0,0,1,0,0,4.488787,24448,29452,54,67,0,0,1,0,0,0,0,52268.90625,232,236,255,255,1591354485,3741230958,105,125,0,1237.897586,1228.707615,1421952683,1421952687,0,1,1,1,1,1,1,1,0
1,0,0,1,0,0,0.216063,8928,320,4,1,0,1,0,0,0,0,0,9886.005859,14,6,255,255,1661749491,2002763452,638,53,0,1550.230186,66.748289,1421951674,1421951674,0,2,2,6,6,1,1,3,0
1,0,0,1,0,0,1.255789,1684,10168,3,5,0,0,0,1,0,0,0,61182.25,14,18,255,255,2343234888,194724949,120,565,1,8907.867057,7886.691366,1421935672,1421935673,1,2,2,4,1,1,1,1,0
1,0,0,1,0,0,0.010934,2438,19242,7,13,,,,,,,,13726724,38,40,255,255,2807206304,669338788,64,481,0,16.656557,15.823396,1421944574,1421944574,0,5,4,3,5,1,1,1,0
1,0,0,1,0,0,0.007352,3728,5474,7,7,0,0,1,0,0,0,0,5708378.5,32,24,255,255,618857766,619168640,117,228,0,14.014638,0.463777,1421948851,1421948851,0,2,1,3,2,1,1,1,0
0,1,0,0,1,0,0.001075,146,178,0,0,1,0,0,0,0,0,0,662325.5625,2,2,0,0,0,0,73,89,0,0,0,1421944327,1421944327,0,2,2,4,1,1,1,1,0
0,1,0,0,1,0,0.001057,130,162,0,0,1,0,0,0,0,0,0,613055.8125,2,2,0,0,0,0,65,81,0,0,0,1421944207,1421944207,0,2,3,4,2,1,1,1,0
0,1,0,0,1,0,0.001068,146,178,0,0,1,0,0,0,0,0,0,666666.6875,2,2,0,0,0,0,73,89,0,0,0,1421952442,1421952442,0,3,2,2,2,1,1,1,0
1,0,0,1,0,0,0.004672,3672,2456,7,7,,,,,,,,3972602.5,18,18,255,255,3338013417,1192136339,204,136,0,12.546788,0.312303,1421928512,1421928512,0,7,6,4,6,1,1,3,0
0,1,0,0,1,0,0.001063,146,178,0,0,1,0,0,0,0,0,0,669802.5,2,2,0,0,0,0,73,89,0,0,0,1421936083,1421936083,0,3,4,2,2,2,1,1,0
1,0,0,1,0,0,1.029985,1580,10168,3,5,0,0,0,1,0,0,0,74595.26563,12,18,255,255,4148398536,2004052506,132,565,1,9533.995865,7677.838661,1421949215,1421949216,1,1,2,3,9,1,1,1,0
1,0,0,0,0,1,0.000003,90,0,1,0,,,,,,,,0,2,0,255,0,0,0,45,0,0,0,0,1421933080,1421933080,0,17,14,4,7,1,1,4,0
1,0,0,1,0,0,5.668923,13142,548216,21,197,,,,,,,,771878.5625,228,438,255,255,670149741,2863838197,58,1252,0,8792.893441,6302.535177,1421951869,1421951874,0,6,10,4,4,1,1,2,0
1,0,0,1,0,0,0.004149,1036,2262,4,4,,,,,,,,3999035.75,12,12,255,255,320856894,321162536,86,189,0,17.311667,0.3866,1421931230,1421931230,0,3,5,3,3,1,1,1,0
0,1,0,0,1,0,0.000925,130,162,0,0,1,0,0,0,0,0,0,700540.5625,2,2,0,0,0,0,65,81,0,0,0,1421943289,1421943289,0,1,2,1,3,1,1,1,0
0,1,0,0,1,0,0.000931,146,178,0,0,1,0,0,0,0,0,0,764769.0625,2,2,0,0,0,0,73,89,0,0,0,1421931836,1421931836,0,3,4,1,6,2,1,1,0
1,0,0,1,0,0,0.155008,4238,60892,7,30,,,,,,,,3100227,72,74,255,255,2672664711,527594263,59,823,0,123.542904,118.997915,1421955619,1421955619,0,8,17,4,1,1,1,1,0
0,1,0,0,1,0,0.006339,568,320,0,0,,,,,,,,302886.875,4,4,0,0,0,0,142,80,0,2.452955,1.846256,1421942256,1421942256,0,5,16,4,3,1,1,3,0
1,0,0,1,0,0,0.059008,2750,27602,7,16,,,,,,,,3660791.75,44,46,255,255,649920687,2813566015,63,600,0,78.321158,76.61358,1421933761,1421933761,0,7,12,4,4,1,1,2,0
1,0,0,1,0,0,0.060022,3806,53914,7,26,,,,,,,,7077138.5,64,66,255,255,438462956,438739170,59,817,0,61.085975,59.729867,1421938367,1421938368,0,10,3,3,5,1,1,2,0
0,1,0,0,1,0,0.035228,568,312,0,0,,,,,,,,53139.55078,4,4,0,0,0,0,142,78,0,9.439404,15.928994,1421942176,1421942176,0,2,4,3,2,1,1,2,0
0,1,0,0,1,0,0.005026,568,304,0,0,,,,,,,,362912.8438,4,4,0,0,0,0,142,76,0,1.875249,1.642139,1421950755,1421950755,0,9,10,4,7,1,1,3,0
1,0,0,1,0,0,0.222462,424,8824,1,4,,,,,,,,290890.125,8,12,255,255,496752992,602381678,53,735,0,2166.787255,1723.208549,1421933615,1421933615,0,7,16,5,4,1,1,3,0
1,0,0,1,0,0,0.00987,2230,13288,7,11,,,,,,,,10471327,34,36,255,255,3844801810,3845137675,66,369,0,16.725797,16.030494,1421936018,1421936018,0,3,3,4,2,1,1,1,0
1,0,0,1,0,0,0.027779,5928,8010,14,17,0,0,1,0,0,0,0,2267036.25,62,58,255,255,3730294554,3730598196,96,138,0,70.639807,0,1421940327,1421940327,0,1,1,1,7,1,1,1,0
0,1,0,0,1,0,0.001617,520,304,0,0,,,,,,,,1128014.875,4,4,0,0,0,0,130,76,0,0.584542,0.269171,1421944555,1421944555,0,13,8,4,6,1,1,4,0
1,0,0,1,0,0,0.036344,4014,57846,7,28,,,,,,,,12551178,68,70,255,255,1638237632,3783903662,59,826,0,33.764793,33.37621,1421938867,1421938867,0,7,4,5,4,1,1,2,0
1,0,0,1,0,0,0.067792,3182,38534,7,20,,,,,,,,4463181.5,52,54,255,255,3113713838,3129776610,61,714,0,0,80.623866,1421945452,1421945452,0,8,24,24,8,2,2,3,0
1,0,0,1,0,0,0.022135,37892,3276,19,8,0,0,0,0,1,0,0,1154732.25,54,40,255,255,852722026,853785595,702,82,0,22.718251,1.047695,1421931092,1421931092,0,1,1,4,4,1,1,1,0
1,0,0,1,0,0,0.745879,3728,5578,7,7,0,0,1,0,0,0,0,57532.12109,32,26,255,255,80776988,81061324,117,215,0,1513.91513,44.230035,1421936137,1421936138,0,3,3,4,4,3,1,1,0
1,0,0,1,0,0,1.001265,23476,28440,52,62,,,,,,,,226217.8281,217,223,255,255,2989991986,840721255,108,128,0,338.744679,340.51173,1421934417,1421934418,0,15,21,5,7,1,1,2,0
1,0,0,1,0,0,1.121297,1684,10168,3,5,0,0,0,1,0,0,0,68520.64844,14,18,255,255,1333341711,3482934079,120,565,0,9121.255161,7996.871486,1421930681,1421930682,0,1,3,2,2,1,1,1,0
1,0,0,1,0,0,1.064035,1684,10168,3,5,0,0,0,1,0,0,0,72208.14844,14,18,255,255,2523195248,374605043,120,565,1,8794.706442,7701.107005,1421943325,1421943326,1,1,4,2,2,1,1,1,0
1,0,0,1,0,0,0.018844,3182,38534,7,20,,,,,,,,16056464,52,54,255,255,218915252,2377198522,61,714,0,0,19.671406,1421945579,1421945579,0,15,6,4,13,4,4,4,0
1,0,0,1,0,0,0.013798,2766,27384,7,16,,,,,,,,15532106,44,46,255,255,1123972863,3279333023,63,595,0,0,17.386322,1421933555,1421933555,0,4,5,1,4,1,1,1,0
1,0,0,1,0,0,0.034605,7808,15026,30,32,,,,,,,,3446207.25,122,126,255,255,408889047,2555392685,64,119,0,17.935155,15.589629,1421937913,1421937913,0,2,6,2,3,1,1,1,0
0,1,0,0,1,0,0.015213,528,304,0,0,,,,,,,,119897.4609,4,4,0,0,0,0,132,76,0,0.608583,6.661417,1421944331,1421944331,0,4,8,7,5,1,1,5,0
0,1,0,0,1,0,0.001006,130,162,0,0,1,0,0,0,0,0,0,644135.1875,2,2,0,0,0,0,65,81,0,0,0,1421943880,1421943880,0,4,3,3,2,1,1,1,0
1,0,0,1,0,0,11.930902,2934,3738,11,15,0,0,0,0,0,1,0,2460.16626,52,54,255,255,1303520575,3700099776,56,69,0,14850.44767,411.889375,1421944948,1421944960,0,15,15,15,21,15,15,15,0
0,1,0,0,1,0,0.001368,146,178,0,0,1,0,0,0,0,0,0,520467.8125,2,2,0,0,0,0,73,89,0,0,0,1421939376,1421939376,0,2,3,5,5,1,1,4,0
1,0,0,1,0,0,0.037039,2438,18678,7,13,,,,,,,,3933583.5,38,40,255,255,3729452909,1596316161,64,467,0,0,65.051443,1421951634,1421951634,0,10,9,2,2,1,1,2,0
1,0,0,1,0,0,0.018885,2974,33842,7,18,,,,,,,,14049669,48,50,255,255,494188971,494490806,62,677,0,24.162079,24.096482,1421940168,1421940168,0,7,6,4,7,1,1,1,0
1,0,0,1,0,0,0.131294,2974,31400,7,18,,,,,,,,1874998.125,48,50,255,255,4093376210,4159658110,62,628,0,174.700073,171.428472,1421938989,1421938989,0,6,9,5,3,1,1,2,0
1,0,0,1,0,0,0.004122,1036,2262,4,4,,,,,,,,4025230.25,12,12,255,255,3947326590,1802242748,86,189,0,17.159498,0.394381,1421942414,1421942414,0,12,8,2,1,1,1,1,0
0,0,1,0,0,1,0.000006,200,0,0,0,,,,,,,,0,2,0,0,0,0,0,100,0,0,0,0,1421930717,1421930717,0,14,14,4,8,4,4,4,1
0,1,0,0,1,0,0.001084,130,162,0,0,1,0,0,0,0,0,0,597786,2,2,0,0,0,0,65,81,0,0,0,1421942022,1421942022,0,5,4,3,5,1,1,1,0
1,0,0,1,0,0,0.005568,2158,1918,6,5,,,,,,,,2619252.75,24,20,255,255,2690898923,541590583,90,96,0,14.395247,14.772791,1421932426,1421932426,0,4,10,5,3,1,1,1,0
1,0,0,1,0,0,0.58928,4464,3080,7,7,,,,,,,,40428.99609,28,30,255,255,4138404594,4208032621,159,103,0,1117.990369,27.3176,1421947204,1421947204,0,8,17,6,5,1,1,3,0
